X2,X4,Y6
0,1007.47,10.0747
0,1015.09,20.3018
0,1030.38,41.2152
0,1045.75,62.745
0,1061.21,84.8968
0,1076.77,107.677
0,1092.44,131.0928
0,1108.24,155.1536
0,1124.19,179.8704
0,1140.31,205.2558
0,1156.83,231.366
0,1173.18,258.0996
0,1189.99,285.5976
0,1207.09,313.8434
10,1007.07,10.0707
10,1014.42,20.2884
10,1029.2,41.168
10,1044.08,62.6448
10,1059.07,84.7256
10,1074.19,107.419
10,1089.46,130.7352
10,1104.91,154.6874
10,1120.56,179.2896
10,1136.43,204.5574
10,1152.54,230.508
10,1168.91,257.1602
10,1185.57,284.5368
10,1202.54,312.6604
20,1005.34,10.0534
20,1012.46,20.2492
20,1026.8,41.072
20,1041.27,62.4762
20,1055.89,84.4712
20,1070.68,107.068
20,1085.66,130.2792
20,1100.85,154.119
20,1116.21,178.5936
20,1131.9,203.742
20,1147.99,229.598
20,1163.95,256.069
20,1180.4,283.296
20,1197.17,311.2642
25,1004.09,10.0409
25,1011.12,20.2224
25,1025.3,41.012
25,1039.63,62.3778
25,1054.12,84.3296
25,1068.79,106.879
25,1083.65,130.038
25,1098.72,153.8208
25,1114.01,178.2416
25,1129.54,203.3172
25,1145.33,229.066
25,1161.4,255.508
25,1177.76,282.6624
25,1194.43,310.5518
30,1002.61,10.0261
30,1009.57,20.1914
30,1023.61,40.9444
30,1037.81,62.2686
30,1052.19,84.1752
30,1066.76,106.676
30,1081.53,129.7836
30,1096.51,153.5114
30,1111.71,177.8736
30,1127.15,202.887
30,1142.85,228.57
30,1158.83,254.9426
30,1175.11,282.0264
30,1191.7,309.842
40,999.08,9.9908
40,1005.93,20.1186
40,1019.77,40.7908
40,1033.78,62.0268
40,1047.98,83.8384
40,1062.38,106.238
40,1076.99,129.2388
40,1091.82,152.8548
40,1106.88,177.1008
40,1122.18,201.9924
40,1137.74,227.548
40,1153.58,253.7876
40,1169.71,280.7304
40,1186.14,308.3964
50,994.82,9.9482
50,1001.61,20.0322
50,1015.31,40.6124
50,1029.19,61.7514
50,1043.26,83.4608
50,1057.53,105.753
50,1072.02,128.6424
50,1086.74,152.1436
50,1101.7,176.272
50,1116.91,201.0438
50,1132.38,226.476
50,1148.12,252.5864
50,1164.14,279.3936
50,1180.45,306.917
60,990,9.9
60,996.7,19.934
60,1010.3,40.412
60,1024.1,61.446
60,1038.1,83.048
60,1052.3,105.23
60,1066.7,128.004
60,1081.3,151.382
60,1096.2,175.392
60,1111.3,200.034
60,1126.8,225.36
60,1142.5,251.35
60,1158.4,278.016
60,1174.7,305.422
80,978.5,9.785
80,985.2,19.704
80,998.8,39.952
80,1012.5,60.75
80,1026.4,82.112
80,1040.5,104.05
80,1054.9,126.588
80,1069.4,149.716
80,1084.2,173.472
80,1099.3,197.874
80,1114.6,222.92
80,1130.3,248.666
80,1146.3,275.112
80,1162.6,302.276
100,965.1,9.785
100,971.9,19.704
100,985.5,39.952
100,999.4,60.75
100,1013.4,82.112
100,1027.6,104.05
100,1042,126.588
100,1056.5,149.716
100,1071.3,173.472
100,1086.4,197.874
100,1101.7,222.92
100,1117.2,248.666
100,1133.1,275.112
100,1149.2,302.276
