X1,X3,Y4
36.5,0.079,65
36.5,0.0835,66
36.5,0.088,67
36.5,0.0925,68
36.5,0.0975,69
36.5,0.1025,70
36.5,0.108,71
36.5,0.1135,72
36.5,0.1195,73
36.5,0.12575,74
36.5,0.132,75
37.5,0.0785,66
37.5,0.0825,67
37.5,0.08725,68
37.5,0.0915,69
37.5,0.09625,70
37.5,0.10125,71
37.5,0.10675,72
37.5,0.1125,73
37.5,0.118,74
37.5,0.124,75
35.5,0.0845,65
35.5,0.089,66
35.5,0.094,67
35.5,0.099,68
35.5,0.104,69
35.5,0.1095,70
35.5,0.115,71
35.5,0.121,72
35.5,0.12725,73
35.5,0.13375,74
35.5,0.14025,75
42.1,0.3085,101
42.1,0.322,102
42.1,0.33575,103
42.1,0.3495,104
42.1,0.3645,105
42.1,0.3795,106
42.1,0.3955,107
42.1,0.412,108
42.1,0.4285,109
42.1,0.4465,110
42.1,0.464,111
43.1,0.3165,103
43.1,0.3295,104
43.1,0.3435,105
43.1,0.358,106
43.1,0.373,107
43.1,0.389,108
43.1,0.4045,109
43.1,0.4215,110
43.1,0.439,111
41.1,0.3275,101
41.1,0.3415,102
41.1,0.356,103
41.1,0.3705,104
41.1,0.3865,105
41.1,0.402,106
41.1,0.4185,107
41.1,0.436,108
41.1,0.453,109
50,1.615,159
50,1.665,160
50,1.7175,161
50,1.77,162
50,1.8275,163
50,1.8825,164
50,1.9375,165
50,1.9975,166
50,2.0575,167
50,2.12,168
50,2.19,169
51,1.6275,161
51,1.68,162
51,1.7325,163
51,1.8275,164
51,1.84,165
51,1.895,166
51,1.9525,167
51,2.0125,168
51,2.0725,169
49,1.7025,159
49,1.76,160
49,1.8125,161
49,1.865,162
49,1.9225,163
49,1.985,164
49,2.0425,165
49,2.105,166
49,2.1675,167
