X1,X2,Y
0,0,0.486
0,10,0.51
0,20,0.522
0,30,0.528
0,40,0.54
0,50,0.551
0,60,0.561
0,70,0.57
0,80,0.578
0,90,0.582
0,100,0.586
0,110,0.588
10,0,0.51
10,10,0.525
10,20,0.539
10,30,0.552
10,40,0.564
10,50,0.575
10,60,0.585
10,70,0.594
10,80,0.602
10,90,0.609
10,100,0.613
10,110,0.615
20,0,0.522
20,10,0.537
20,20,0.551
20,30,0.564
20,40,0.576
20,50,0.587
20,60,0.597
20,70,0.606
20,80,0.614
20,90,0.623
20,100,0.626
20,110,0.624
30,0,0.528
30,10,0.543
30,20,0.557
30,30,0.57
30,40,0.582
30,50,0.593
30,60,0.603
30,70,0.612
30,80,0.62
30,90,0.629
30,100,0.633
30,110,0.636
40,40,0.583
40,50,0.594
40,60,0.604
40,70,0.613
40,80,0.621
