X1,X2,Y2
12.84,30,26.8
18.87,30,23.88
26.28,30,17.85
33.28,30,12.1
38.32,30,7.97
43.02,30,5.42
49.91,30,3.16
10.03,45,64.65
20.81,45,50.18
25.37,45,42.5
33.7,45,27.14
38.16,45,19.67
44.28,45,12.35
51.21,45,7.78
56.43,45,5.106
8.993,60,136.4
9.963,60,134.8
17.99,60,114.7
19.84,60,111.5
23.93,60,96.5
27.14,60,86.42
29.49,60,74
31.86,60,65.32
38.37,60,43.87
38.9,60,40.69
42.67,60,31.7
46.05,60,23.75
47.57,60,21.61
53.13,60,14.15
56.19,60,11.52
60.95,60,9.76
64.71,60,6.32
13.6,70.04,193
21.13,70.04,162.4
26.93,70.04,131.7
33.33,70.04,101.6
39.77,70.04,66.82
44.52,70.04,46.76
52.54,70.04,26.2
62.52,70.04,12.99
10.95,80,314.1
19.9,80,261.4
26.88,80,209.8
32.64,80,163.5
37.84,80,119
41.66,80,94.6
46.29,80,69.43
51.36,80,48.54
52.35,80,45.81
61.93,80,22.64
66.18,80,16.41
5,11,9.6
5,12,10.2
5,13,10.9
5,14,11.7
5,15,12.4
5,16,13.2
5,17,14.2
5,18,15.2
5,19,16.2
5,20,17.2
5,21,18.3
5,22,19.8
5,23,20.6
5,24,21.9
5,25,23.3
10,10,8.6
10,11,9.2
10,12,9.8
10,13,10.4
10,14,11.1
10,15,11.9
10,16,12.7
10,17,13.6
10,18,14.5
10,19,15.4
10,20,16.4
10,21,17.4
10,22,18.4
10,23,19.5
10,24,20.9
10,25,22.2
15,10,7.8
15,11,8.8
15,12,8.9
15,13,9.5
15,14,10.2
15,15,10.8
15,16,11.5
15,17,12.3
15,18,13.1
15,19,14
15,20,14.9
15,21,15.9
15,22,16.9
15,23,17.9
15,24,19
15,25,20.2
20,10,6.9
20,11,7.4
20,12,7.9
20,13,8.4
20,14,9
20,15,9.6
20,16,10.2
20,17,10.9
20,18,11.6
20,19,12.4
20,20,13.2
20,21,14
20,22,14.9
20,23,15.8
20,24,16.8
20,25,17.8
25,10,5.4
25,11,6.1
25,12,6.6
25,13,7
25,14,7.5
25,15,8
25,16,8.5
25,17,9.1
25,18,9.7
25,19,10.3
25,20,10.9
25,21,11.7
25,22,12.4
25,23,13.2
25,24,14
25,25,14.9
30,10,4.4
30,11,5
30,12,5.3
30,13,5.6
30,14,6
30,15,6.4
30,16,6.9
30,17,7.3
30,18,7.8
30,19,8.3
30,20,8.8
30,21,9.4
30,22,10
30,23,10.6
30,24,11.2
30,25,12
50,10,0.5
50,11,0.6
50,12,0.7
50,13,0.9
50,14,1
50,15,1.1
50,16,1.3
50,17,1.5
50,18,1.6
50,19,1.8
50,20,2
50,21,2.2
50,22,2.4
50,23,2.5
50,24,2.7
50,25,2.9
