X1,X2,Y1
2,19.85,1.28
2,29.85,0.88
2,39.85,0.72
2,49.85,0.6
2,59.85,0.51
2,69.85,0.45
4,19.85,1.35
4,29.85,1
4,39.85,0.81
4,49.85,0.66
4,59.85,0.57
4,69.85,0.48
6,19.85,1.48
6,29.85,1.15
6,39.85,0.92
6,49.85,0.75
6,59.85,0.62
6,69.85,0.53
8,19.85,1.68
8,29.85,1.28
8,39.85,1.03
8,49.85,0.83
8,59.85,0.71
8,69.85,0.6
10,19.85,1.92
10,29.85,1.49
10,39.85,1.19
10,49.85,0.96
10,59.85,0.8
10,69.85,0.67
12,19.85,2.2
12,29.85,1.7
12,39.85,1.4
12,49.85,1.1
12,59.85,0.9
12,69.85,0.8
14,19.85,2.7
14,29.85,2.1
14,39.85,1.6
14,49.85,1.3
14,59.85,1
14,69.85,0.9
16,19.85,3.2
16,29.85,2.4
16,39.85,1.9
16,49.85,1.5
16,59.85,1.2
16,69.85,1
18,19.85,3.9
18,29.85,2.9
18,39.85,2.2
18,49.85,1.7
18,59.85,1.4
18,69.85,1.1
20,19.85,4.7
20,29.85,3.4
20,39.85,2.6
20,49.85,2
20,59.85,1.6
20,69.85,1.3
22,19.85,5.7
22,29.85,4
22,39.85,3.1
22,49.85,2.3
22,59.85,1.9
22,69.85,1.5
24,19.85,7
24,29.85,4.9
24,39.85,3.6
24,49.85,2.7
24,59.85,2.2
24,69.85,1.7
26,19.85,8.6
26,29.85,5.9
26,39.85,4.3
26,49.85,3.2
26,59.85,2.5
26,69.85,1.9
28,19.85,10.9
28,29.85,7.2
28,39.85,5.1
28,49.85,3.7
28,59.85,2.9
28,69.85,2.2
30,19.85,13.7
30,29.85,8.9
30,39.85,6
30,49.85,4.4
30,59.85,3.3
30,69.85,2.5
32,19.85,17.1
32,29.85,11
32,39.85,7.1
32,49.85,5.2
32,59.85,3.8
32,69.85,2.9
34,19.85,18.9
34,29.85,13.4
34,39.85,8.5
34,49.85,6.1
34,59.85,4.4
34,69.85,3.4
36,19.85,25.8
36,29.85,15.9
36,39.85,10.1
36,49.85,7.1
36,59.85,5.1
36,69.85,3.8
38,19.85,31.8
38,29.85,19.1
38,39.85,11.9
38,49.85,8.2
38,59.85,5.8
38,69.85,4.3
40,19.85,39.7
40,29.85,22.7
40,39.85,13.9
40,49.85,9.4
40,59.85,6.5
40,69.85,4.8
42,19.85,49.3
42,29.85,27
42,39.85,16.4
42,49.85,10.7
42,59.85,7.2
42,69.85,5.3
44,19.85,63.3
44,29.85,32
44,39.85,18.7
44,49.85,12
44,59.85,8
44,69.85,5.9
46,19.85,78
46,29.85,37.2
46,39.85,20.9
46,49.85,13.4
46,59.85,8.8
46,69.85,6.5
48,19.85,99.5
48,29.85,42.5
48,39.85,23.3
48,49.85,14.9
48,59.85,9.6
48,69.85,7
50,19.85,115
50,29.85,48.3
50,39.85,25.7
50,49.85,16.3
50,59.85,10.4
50,69.85,7.6
